fta params:,lower,upper,delta,eta
,-0.05,0.05,0.007692307692307693,0.007692307692307693
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,20
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-214.61,-214.61,1.0
1,-256.7,-235.66,0.99
2,-71.83,-181.05,0.99
3,-108.67,-162.95,0.98
4,-220.04,-174.37,0.98
5,-313.17,-197.51,0.97
6,-122.31,-186.76,0.97
7,-494.19,-225.19,0.96
8,-261.02,-229.17,0.96
9,-231.96,-229.45,0.95
10,-117.33,-219.26,0.95
11,-104.38,-209.68,0.94
12,-97.56,-201.06,0.94
13,-173.53,-199.09,0.94
14,-66.66,-190.26,0.93
15,-80.63,-183.41,0.93
16,-105.32,-178.82,0.92
17,-113.76,-175.21,0.91
18,17.48,-165.06,0.91
19,-379.06,-175.76,0.9
20,-84.06,-171.4,0.9
21,-89.31,-167.67,0.89
22,-5.76,-160.63,0.89
23,-84.69,-157.46,0.88
24,-82.17,-154.45,0.88
25,-256.72,-158.38,0.87
26,-62.33,-154.83,0.87
27,-166.57,-155.25,0.86
28,-188.71,-156.4,0.86
29,-185.96,-157.38,0.86
30,-84.12,-155.02,0.85
31,-131.95,-154.3,0.84
32,-203.1,-155.78,0.84
33,-142.94,-155.4,0.83
34,-55.66,-152.55,0.83
35,-97.69,-151.03,0.83
36,-198.83,-152.32,0.82
37,-200.37,-153.58,0.82
38,-211.83,-155.08,0.81
39,-56.94,-152.62,0.81
40,-306.41,-156.38,0.8
41,-91.67,-154.83,0.8
42,-102.26,-153.61,0.79
43,-126.77,-153.0,0.79
44,-204.52,-154.15,0.78
45,-43.07,-151.73,0.78
46,-200.17,-152.76,0.77
47,-147.79,-152.66,0.76
48,-169.35,-153.0,0.76
49,-192.5,-153.79,0.75
50,-264.89,-155.97,0.74
51,-69.96,-154.31,0.74
52,-191.81,-155.02,0.73
53,-61.05,-153.28,0.73
54,-173.25,-153.65,0.72
55,-90.39,-152.52,0.72
56,-259.46,-154.39,0.71
57,-61.56,-152.79,0.71
58,-215.57,-153.86,0.7
59,-182.62,-154.33,0.7
60,-90.01,-153.28,0.69
61,-206.64,-154.14,0.68
62,-146.33,-154.02,0.68
63,-106.02,-153.27,0.67
64,-111.6,-152.63,0.67
65,-500.69,-157.9,0.66
