fta params:,lower,upper,delta,eta
,-1,1,0.13333333333333333,0.13333333333333333
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,30
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-197.3,-197.3,1.0
1,-21.65,-109.48,0.99
2,-416.1,-211.68,0.99
3,-354.75,-247.45,0.98
4,-218.73,-241.7,0.98
5,-427.92,-272.74,0.97
6,-159.0,-256.49,0.97
7,-135.74,-241.4,0.96
8,-143.3,-230.5,0.96
9,-455.01,-252.95,0.95
10,-156.42,-244.17,0.95
11,-84.92,-230.9,0.94
12,-49.01,-216.91,0.94
13,-115.19,-209.65,0.93
14,-74.87,-200.66,0.93
15,-135.95,-196.62,0.92
16,-92.0,-190.46,0.92
17,-222.86,-192.26,0.91
18,-358.38,-201.0,0.91
19,-239.47,-202.93,0.9
20,-121.78,-199.06,0.9
21,-272.57,-202.41,0.89
22,-73.11,-196.78,0.89
23,-159.92,-195.25,0.88
24,-172.63,-194.34,0.88
25,-155.73,-192.86,0.88
26,-104.26,-189.58,0.87
27,-155.77,-188.37,0.86
28,-80.83,-184.66,0.86
29,-138.16,-183.11,0.85
30,-212.83,-184.07,0.85
31,-317.87,-188.25,0.84
32,-268.07,-190.67,0.84
33,-109.02,-188.27,0.83
34,11.24,-182.57,0.83
35,-141.36,-181.42,0.82
36,-89.7,-178.94,0.82
37,-228.94,-180.26,0.81
38,-78.48,-177.65,0.81
39,-59.71,-174.7,0.8
40,-102.71,-172.95,0.8
41,-82.66,-170.8,0.79
42,-60.59,-168.23,0.79
43,-85.38,-166.35,0.78
44,-70.47,-164.22,0.78
45,-101.54,-162.86,0.77
46,-192.36,-163.49,0.77
47,-187.52,-163.99,0.76
48,-160.99,-163.92,0.76
49,-78.9,-162.22,0.76
50,-105.18,-161.11,0.75
51,-249.93,-162.81,0.75
52,-67.68,-161.02,0.75
53,-54.52,-159.05,0.74
54,-185.16,-159.52,0.74
55,-128.55,-158.97,0.73
56,-27.43,-156.66,0.73
57,-101.49,-155.71,0.72
58,-314.33,-158.4,0.71
59,-108.49,-157.57,0.71
60,-346.47,-160.66,0.7
61,-55.07,-158.96,0.7
62,-126.32,-158.44,0.69
63,-99.44,-157.52,0.68
64,-96.24,-156.58,0.68
65,-75.85,-155.35,0.67
66,-394.52,-158.92,0.66
67,-84.26,-157.83,0.66
68,-72.21,-156.58,0.65
69,-70.54,-155.36,0.65
70,-101.8,-154.6,0.64
71,-108.08,-153.96,0.64
72,-64.75,-152.73,0.63
73,-70.63,-151.62,0.63
74,-50.39,-150.27,0.62
75,-176.2,-150.62,0.62
76,-55.46,-149.38,0.61
77,-75.32,-148.43,0.6
78,-62.95,-147.35,0.6
79,-86.44,-146.59,0.59
80,-73.3,-145.68,0.59
81,-21.53,-144.17,0.58
82,-47.91,-143.01,0.58
83,-26.07,-141.62,0.57
84,-10.35,-140.07,0.57
85,-87.69,-139.46,0.56
86,-75.81,-138.73,0.56
87,-88.62,-138.16,0.55
