fta params:,lower,upper,delta,eta
,-0.25,0.25,0.03571428571428571,0.03571428571428571
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,30
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-276.88,-276.88,1.0
1,-125.35,-201.12,0.99
2,-230.59,-210.94,0.99
3,-134.02,-191.71,0.98
4,-273.84,-208.14,0.97
5,-135.58,-196.05,0.97
6,20.86,-165.06,0.96
7,-33.97,-148.67,0.96
8,8.64,-131.19,0.95
9,-117.5,-129.82,0.95
10,-110.61,-128.08,0.94
11,-444.87,-154.48,0.94
12,-169.84,-155.66,0.94
13,-3.96,-144.82,0.93
14,-98.73,-141.75,0.93
15,-104.66,-139.43,0.92
16,-370.9,-153.05,0.92
17,-155.17,-153.17,0.91
18,-392.25,-165.75,0.91
19,-93.96,-162.16,0.9
20,-91.52,-158.8,0.9
21,-50.29,-153.86,0.89
22,-147.44,-153.58,0.89
23,-137.39,-152.91,0.88
24,-282.49,-158.09,0.88
25,-77.71,-155.0,0.88
26,-47.2,-151.01,0.87
27,-165.05,-151.51,0.86
28,-114.3,-150.23,0.86
29,-131.52,-149.6,0.85
30,-433.99,-158.78,0.85
31,-67.02,-155.91,0.84
32,-78.91,-153.58,0.83
33,-152.12,-153.53,0.83
34,-199.75,-154.85,0.83
35,-50.78,-151.96,0.82
36,-224.31,-153.92,0.82
37,-89.76,-152.23,0.81
38,-67.39,-150.06,0.81
39,-122.58,-149.37,0.8
40,-85.07,-147.8,0.8
41,-107.68,-146.84,0.8
42,-130.54,-146.47,0.79
43,-61.67,-144.54,0.79
44,-123.69,-144.08,0.78
45,-90.93,-142.92,0.78
46,-84.28,-141.67,0.77
47,-70.83,-140.2,0.77
48,-52.06,-138.4,0.77
49,-168.9,-139.01,0.76
50,-101.29,-138.27,0.76
51,-156.11,-138.61,0.75
52,-90.44,-137.7,0.75
53,-59.47,-136.25,0.74
54,-98.7,-135.57,0.74
55,-49.83,-134.04,0.73
56,-103.31,-133.5,0.73
57,-78.05,-132.54,0.72
58,-121.81,-132.36,0.72
59,-96.26,-131.76,0.71
60,-70.77,-130.76,0.71
61,-138.82,-130.89,0.7
62,-135.33,-130.96,0.7
63,-53.74,-129.76,0.7
64,-87.31,-129.1,0.69
65,-131.14,-129.13,0.68
66,-110.59,-128.86,0.68
67,-89.02,-128.27,0.68
68,-71.45,-127.45,0.67
69,-129.7,-127.48,0.66
70,-92.04,-126.98,0.66
71,-18.91,-125.48,0.65
72,-57.76,-124.55,0.65
73,-39.76,-123.41,0.64
74,-86.83,-122.92,0.64
75,-33.28,-121.74,0.64
76,-53.83,-120.86,0.63
77,-43.88,-119.87,0.63
78,-301.34,-122.17,0.62
79,-79.17,-121.63,0.62
80,-215.59,-122.79,0.61
81,-97.73,-122.48,0.6
82,-88.67,-122.08,0.6
83,-92.32,-121.72,0.59
84,-135.69,-121.89,0.59
85,-61.16,-121.18,0.59
86,-83.69,-120.75,0.58
87,-67.24,-120.14,0.58
88,-88.02,-119.78,0.57
89,-123.82,-119.83,0.57
90,-94.13,-119.54,0.56
91,-116.0,-119.5,0.55
92,-104.95,-119.35,0.55
93,-46.59,-118.57,0.54
94,-47.72,-117.83,0.54
95,-178.71,-118.46,0.53
96,-117.83,-118.46,0.53
97,-138.69,-118.66,0.52
98,-42.76,-117.9,0.52
99,-98.64,-117.7,0.51
100,-69.09,-115.63,0.51
101,-139.93,-115.77,0.5
102,-55.16,-114.02,0.5
103,-25.37,-112.93,0.49
104,-38.1,-110.57,0.49
105,-260.65,-111.82,0.48
106,-45.41,-112.49,0.48
107,-76.25,-112.91,0.47
108,-159.85,-114.59,0.47
109,-90.34,-114.32,0.46
110,-49.89,-113.71,0.46
111,-50.0,-109.77,0.45
112,-43.83,-108.51,0.45
113,-45.07,-108.92,0.44
114,-133.58,-109.27,0.43
115,-72.11,-108.94,0.42
116,-67.21,-105.9,0.42
117,-218.71,-106.54,0.4
118,-62.77,-103.24,0.39
119,39.67,-101.91,0.38
120,-38.92,-101.38,0.38
121,-56.5,-101.44,0.37
122,-93.54,-100.9,0.36
123,-11.81,-99.65,0.35
124,-302.05,-99.84,0.34
125,-8.26,-99.15,0.34
126,-138.4,-100.06,0.33
127,-76.6,-99.18,0.32
128,-80.02,-98.83,0.32
129,-65.61,-98.18,0.31
130,-186.32,-95.7,0.3
131,-36.84,-95.4,0.3
132,-228.58,-96.89,0.29
133,-81.6,-96.19,0.29
134,-198.0,-96.17,0.28
135,-176.66,-97.43,0.27
136,-56.34,-95.75,0.26
137,-111.35,-95.97,0.25
138,-188.4,-97.18,0.25
139,-87.5,-96.83,0.23
140,-37.61,-96.35,0.22
141,-24.01,-95.51,0.22
142,-41.86,-94.63,0.21
143,-241.28,-96.42,0.2
144,-85.06,-96.04,0.19
145,-73.31,-95.86,0.17
146,-110.87,-96.13,0.16
147,3.41,-95.38,0.15
148,18.56,-94.68,0.14
149,-14.88,-93.14,0.12
150,-49.39,-92.62,0.11
151,-241.27,-93.47,0.1
152,-62.49,-93.19,0.08
153,-45.21,-93.05,0.06
154,-55.26,-92.61,0.04
155,-53.25,-92.65,0.02
156,-49.55,-92.11,0.01
157,-69.55,-92.03,0.01
158,6.08,-90.75,0.01
159,5.05,-89.73,0.01
160,-66.32,-89.69,0.01
161,-65.82,-88.96,0.01
162,-22.21,-87.83,0.01
163,-66.85,-87.96,0.01
164,-92.97,-88.02,0.01
165,-32.96,-87.03,0.01
166,-27.73,-86.21,0.01
167,-41.51,-85.73,0.01
168,-140.08,-86.42,0.01
169,-255.22,-87.67,0.01
170,-5.68,-86.81,0.01
171,-91.8,-87.54,0.01
172,-87.3,-87.83,0.01
173,-34.82,-87.78,0.01
174,-53.34,-87.45,0.01
175,128.48,-85.83,0.01
176,-40.42,-85.7,0.01
177,-41.8,-85.68,0.01
178,-53.32,-83.2,0.01
179,-33.98,-82.74,0.01
180,-47.29,-81.06,0.01
181,-70.39,-80.79,0.01
182,-104.41,-80.94,0.01
183,-40.53,-80.43,0.01
184,-68.63,-79.76,0.01
185,-68.07,-79.83,0.01
186,-53.92,-79.53,0.01
187,-141.32,-80.27,0.01
188,66.89,-78.72,0.01
189,-48.93,-77.97,0.01
190,-45.77,-77.49,0.01
191,-23.59,-76.56,0.01
192,-58.9,-76.1,0.01
193,-44.02,-76.08,0.01
194,-38.79,-75.99,0.01
195,-266.87,-76.87,0.01
196,-20.88,-75.9,0.01
197,235.89,-72.15,0.01
198,-51.21,-72.24,0.01
199,-7.2,-71.32,0.01
200,-42.06,-71.05,0.01
201,-34.6,-70.0,0.01
202,-31.3,-69.76,0.01
203,-36.88,-69.88,0.01
204,-96.87,-70.46,0.01
205,-59.4,-68.45,0.01
206,-39.6,-68.39,0.01
207,-71.2,-68.34,0.01
208,5.87,-66.69,0.01
209,-68.19,-66.46,0.01
210,-82.89,-66.79,0.01
211,-24.47,-66.54,0.01
212,-91.77,-67.02,0.01
213,-64.43,-67.21,0.01
214,-64.77,-66.52,0.01
215,-25.31,-66.06,0.01
216,-32.87,-65.71,0.01
217,-1.38,-63.54,0.01
218,-39.51,-63.31,0.01
219,-14.65,-63.85,0.01
220,-11.98,-63.58,0.01
221,-2.24,-63.04,0.01
222,-78.07,-62.88,0.01
223,7.29,-62.69,0.01
224,-37.48,-60.05,0.01
225,-19.11,-60.15,0.01
226,-44.0,-59.21,0.01
227,-72.13,-59.17,0.01
228,-69.67,-59.06,0.01
229,-71.61,-59.12,0.01
230,-18.42,-57.44,0.01
231,-0.47,-57.08,0.01
232,-56.42,-55.36,0.01
233,-56.29,-55.1,0.01
234,-66.03,-53.78,0.01
235,16.09,-51.86,0.01
236,-53.72,-51.83,0.01
237,-60.77,-51.33,0.01
238,-50.51,-49.95,0.01
239,-58.23,-49.65,0.01
240,-29.58,-49.57,0.01
241,-34.9,-49.68,0.01
242,-58.04,-49.84,0.01
243,-30.38,-47.74,0.01
244,-28.94,-47.17,0.01
245,-50.85,-46.95,0.01
246,2.54,-45.82,0.01
247,26.45,-45.59,0.01
248,-46.8,-46.24,0.01
249,0.1,-46.09,0.01
250,-57.66,-46.17,0.01
251,-36.11,-44.12,0.01
252,14.64,-43.35,0.01
253,-32.32,-43.22,0.01
254,-30.11,-42.97,0.01
255,-4.49,-42.48,0.01
256,-32.75,-42.31,0.01
257,-26.8,-41.89,0.01
258,-43.65,-42.38,0.01
259,-101.38,-43.45,0.01
260,-50.3,-43.29,0.01
261,-54.81,-43.18,0.01
262,-50.55,-43.46,0.01
263,2.37,-42.77,0.01
264,-2.01,-41.86,0.01
265,-68.42,-42.21,0.01
266,-52.65,-42.46,0.01
267,-16.12,-42.21,0.01
268,-93.56,-41.74,0.01
269,8.82,-39.1,0.01
270,-12.12,-39.17,0.01
271,-51.47,-38.76,0.01
272,-9.7,-37.99,0.01
273,20.61,-37.43,0.01
274,-46.68,-37.37,0.01
275,-31.2,-38.96,0.01
276,-13.34,-38.69,0.01
277,-22.53,-38.5,0.01
278,-27.6,-38.24,0.01
279,-6.11,-37.96,0.01
280,-19.32,-37.68,0.01
281,17.46,-36.81,0.01
282,-146.66,-37.23,0.01
283,1.91,-36.8,0.01
284,-14.18,-36.26,0.01
285,-69.35,-36.27,0.01
286,-20.48,-35.94,0.01
287,10.25,-34.42,0.01
288,-37.32,-35.46,0.01
289,-26.69,-35.24,0.01
290,28.48,-34.5,0.01
291,44.99,-33.81,0.01
292,-102.89,-34.25,0.01
293,-50.19,-34.32,0.01
294,-20.88,-34.14,0.01
295,-9.05,-31.56,0.01
296,3.95,-31.31,0.01
297,-0.62,-33.67,0.01
298,1.09,-33.15,0.01
299,7.98,-33.0,0.01
300,-69.47,-33.27,0.01
301,0.61,-32.92,0.01
302,-81.48,-33.42,0.01
303,-90.74,-33.96,0.01
304,-18.68,-33.18,0.01
305,-26.07,-32.85,0.01
306,-7.11,-32.52,0.01
307,-68.83,-32.5,0.01
308,-36.59,-32.92,0.01
309,18.28,-32.06,0.01
310,2.33,-31.21,0.01
311,12.64,-30.84,0.01
312,-33.98,-30.26,0.01
313,-57.51,-30.19,0.01
314,-32.81,-29.87,0.01
315,-64.07,-30.26,0.01
316,-6.23,-29.99,0.01
317,-56.55,-30.54,0.01
318,-26.2,-30.41,0.01
319,17.83,-30.08,0.01
320,-18.42,-30.15,0.01
321,-18.71,-30.31,0.01
322,-64.69,-30.18,0.01
323,-12.68,-30.38,0.01
324,-41.42,-30.42,0.01
325,-21.93,-30.45,0.01
326,9.87,-29.91,0.01
327,-2.81,-29.21,0.01
328,-29.29,-28.81,0.01
329,-50.76,-28.6,0.01
330,-45.24,-28.87,0.01
331,46.88,-28.4,0.01
332,-73.64,-28.57,0.01
333,-44.95,-28.46,0.01
334,-32.32,-28.12,0.01
335,-28.32,-28.56,0.01
336,-30.92,-28.33,0.01
337,-35.22,-28.08,0.01
338,-2.49,-27.6,0.01
339,-34.42,-27.36,0.01
340,-35.46,-27.42,0.01
341,-44.34,-27.51,0.01
342,-0.91,-26.94,0.01
343,-32.38,-26.96,0.01
344,-34.65,-27.02,0.01
345,13.03,-26.38,0.01
346,-43.29,-26.84,0.01
347,-22.47,-27.33,0.01
348,1.73,-26.84,0.01
349,-4.02,-26.88,0.01
350,-12.51,-26.43,0.01
351,11.13,-25.96,0.01
352,-19.84,-26.3,0.01
353,-27.89,-26.26,0.01
354,-38.0,-26.34,0.01
355,-59.75,-26.89,0.01
356,0.35,-26.56,0.01
357,15.67,-26.14,0.01
358,16.07,-25.54,0.01
359,25.32,-24.27,0.01
360,14.81,-23.62,0.01
361,-35.67,-23.43,0.01
362,-49.83,-23.42,0.01
363,-34.78,-23.79,0.01
364,-7.89,-23.85,0.01
365,-28.85,-23.46,0.01
366,-7.53,-23.01,0.01
367,-3.83,-22.88,0.01
368,-23.71,-22.18,0.01
369,-15.32,-22.43,0.01
370,-50.18,-22.81,0.01
371,51.57,-21.78,0.01
372,-32.39,-22.0,0.01
373,185.21,-20.36,0.01
374,14.97,-19.74,0.01
375,20.59,-19.22,0.01
376,-10.91,-19.2,0.01
377,-24.21,-19.21,0.01
378,-24.9,-19.19,0.01
379,17.19,-18.95,0.01
380,24.15,-18.52,0.01
381,15.05,-18.54,0.01
382,11.6,-16.96,0.01
383,0.09,-16.98,0.01
384,-24.4,-17.08,0.01
385,13.76,-16.25,0.01
386,19.1,-15.86,0.01
387,-141.17,-17.37,0.01
388,0.29,-16.99,0.01
389,6.54,-16.66,0.01
390,-94.5,-17.89,0.01
391,53.83,-17.8,0.01
392,-39.5,-17.17,0.01
393,9.04,-16.58,0.01
394,9.05,-16.28,0.01
395,40.02,-15.79,0.01
396,7.26,-15.75,0.01
397,-10.18,-15.85,0.01
398,-0.84,-15.87,0.01
399,219.34,-13.75,0.01
400,48.34,-12.58,0.01
401,-83.79,-13.42,0.01
402,-5.89,-12.66,0.01
403,16.38,-11.59,0.01
404,-39.04,-11.8,0.01
405,28.08,-11.26,0.01
406,-2.67,-11.21,0.01
407,-12.76,-10.65,0.01
408,52.18,-9.76,0.01
409,-17.57,-10.12,0.01
410,-39.8,-10.54,0.01
411,-2.82,-10.7,0.01
