fta params:,lower,upper,delta,eta
,-2,2,0.2857142857142857,0.2857142857142857
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,10
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-169.1,-169.1,1.0
1,-91.74,-130.42,0.99
2,-223.02,-161.29,0.99
3,-104.55,-147.1,0.98
4,-345.83,-186.85,0.98
5,-338.13,-212.06,0.97
6,-102.4,-196.4,0.97
7,-135.47,-188.78,0.96
8,-104.8,-179.45,0.96
9,-129.87,-174.49,0.95
10,-137.04,-171.09,0.95
11,-212.34,-174.52,0.94
12,-268.18,-181.73,0.94
13,-268.98,-187.96,0.93
14,-176.87,-187.22,0.93
15,-345.91,-197.14,0.92
16,-101.79,-191.53,0.92
17,25.7,-179.46,0.91
18,-95.64,-175.05,0.91
19,-105.15,-171.56,0.9
20,-182.52,-172.08,0.9
21,-30.75,-165.65,0.89
22,-379.98,-174.97,0.89
23,-174.02,-174.93,0.88
24,-97.9,-171.85,0.88
25,-67.9,-167.85,0.87
26,-115.41,-165.91,0.86
27,-94.16,-163.35,0.86
28,-98.29,-161.1,0.85
29,-74.93,-158.23,0.85
30,-283.86,-162.28,0.84
31,-111.22,-160.69,0.84
32,-332.45,-165.89,0.84
33,-115.82,-164.42,0.83
34,-136.69,-163.63,0.83
35,-128.77,-162.66,0.82
36,-149.02,-162.29,0.81
37,-82.37,-160.19,0.81
38,-168.16,-160.39,0.81
39,-110.7,-159.15,0.8
40,-51.26,-156.52,0.79
41,-113.55,-155.5,0.79
42,-112.43,-154.49,0.78
43,-47.09,-152.05,0.78
44,-47.23,-149.72,0.77
45,-171.97,-150.21,0.77
46,-110.34,-149.36,0.76
47,-97.35,-148.28,0.75
48,-85.63,-147.0,0.75
49,-60.5,-145.27,0.75
50,-52.69,-143.45,0.74
51,-216.65,-144.86,0.74
52,-228.4,-146.44,0.73
53,-110.53,-145.77,0.73
54,-63.12,-144.27,0.72
55,-178.72,-144.88,0.72
56,-81.59,-143.77,0.71
57,-52.27,-142.2,0.71
58,-172.7,-142.71,0.7
59,-106.79,-142.11,0.7
60,-61.28,-140.79,0.69
61,-73.76,-139.71,0.69
62,-114.46,-139.31,0.69
63,-39.14,-137.74,0.68
64,-71.21,-136.72,0.67
65,-114.06,-136.37,0.67
66,-147.44,-136.54,0.66
67,-239.88,-138.06,0.66
68,-89.19,-137.35,0.65
69,-74.06,-136.45,0.65
70,-53.42,-135.28,0.64
71,-75.28,-134.44,0.64
72,-83.33,-133.74,0.63
73,-53.75,-132.66,0.63
74,-29.76,-131.29,0.62
75,-55.86,-130.3,0.62
76,-108.0,-130.01,0.62
77,-78.92,-129.35,0.61
78,-88.3,-128.83,0.6
79,-21.41,-127.49,0.6
80,-79.32,-126.9,0.59
81,-72.02,-126.23,0.59
82,-208.8,-127.22,0.58
83,-39.65,-126.18,0.58
84,-93.66,-125.8,0.57
85,-94.55,-125.43,0.57
86,-208.0,-126.38,0.56
87,-62.92,-125.66,0.55
88,-151.84,-125.96,0.54
89,-45.62,-125.06,0.54
90,-65.75,-124.41,0.53
91,-54.07,-123.65,0.52
92,-60.89,-122.97,0.52
93,-32.77,-122.01,0.51
94,-242.93,-123.29,0.5
95,-98.33,-123.03,0.5
96,-80.18,-122.58,0.49
97,-144.23,-122.8,0.49
98,-87.83,-122.45,0.48
99,-87.52,-122.1,0.47
100,-149.21,-121.9,0.47
101,-71.56,-121.7,0.46
102,-262.85,-122.1,0.46
103,-100.68,-122.06,0.45
104,-45.53,-119.06,0.45
105,-47.04,-116.15,0.44
106,-27.63,-115.4,0.44
107,-65.12,-114.7,0.43
108,-40.99,-114.06,0.42
109,-68.73,-113.45,0.42
110,-40.36,-112.48,0.41
111,-62.33,-110.98,0.41
112,-58.26,-108.88,0.4
113,-76.65,-106.96,0.39
114,-29.4,-105.48,0.38
115,-177.21,-103.8,0.37
116,-44.73,-103.22,0.37
117,-73.25,-104.21,0.36
118,-54.64,-103.8,0.35
119,-60.07,-103.35,0.34
120,-19.54,-101.72,0.33
121,-50.02,-101.92,0.32
122,-34.69,-98.46,0.32
123,-9.93,-96.82,0.31
124,-90.68,-96.75,0.3
125,-48.54,-96.56,0.29
126,-65.9,-96.06,0.29
127,-53.5,-95.65,0.28
128,-17.74,-94.85,0.27
129,-78.31,-94.88,0.26
130,-222.39,-94.27,0.25
131,-43.13,-93.59,0.24
132,-34.72,-90.61,0.23
133,-269.81,-92.15,0.21
134,-9.74,-90.88,0.21
135,-44.72,-90.04,0.2
136,-77.26,-89.32,0.19
137,-85.88,-89.36,0.18
138,-176.11,-89.44,0.17
139,10.86,-88.22,0.16
140,-65.62,-88.37,0.15
141,-242.07,-89.65,0.14
142,-79.88,-89.32,0.13
143,0.13,-88.85,0.12
144,-35.96,-88.74,0.11
145,-32.84,-87.35,0.1
146,-89.06,-87.14,0.09
147,-94.52,-87.11,0.07
148,-43.18,-86.68,0.06
149,-65.97,-86.74,0.05
150,22.01,-85.99,0.04
151,-30.61,-84.13,0.03
152,-127.87,-83.13,0.01
153,-137.16,-83.39,0.01
154,-26.73,-83.03,0.01
155,-15.47,-81.4,0.01
156,-27.43,-80.85,0.01
157,-45.44,-80.79,0.01
158,19.58,-78.86,0.01
159,-116.65,-78.96,0.01
160,1.53,-78.33,0.01
161,7.31,-77.52,0.01
162,-21.12,-76.59,0.01
163,-1.39,-76.21,0.01
164,16.04,-75.34,0.01
165,-213.36,-76.33,0.01
166,-43.37,-75.29,0.01
167,-59.68,-73.49,0.01
168,22.13,-72.38,0.01
169,-27.5,-71.91,0.01
170,199.79,-69.38,0.01
171,3.66,-68.59,0.01
172,-11.84,-67.87,0.01
173,76.36,-66.57,0.01
174,-16.67,-66.44,0.01
175,5.25,-65.83,0.01
176,-54.22,-65.29,0.01
177,-78.24,-65.29,0.01
178,-50.47,-64.91,0.01
179,187.58,-62.82,0.01
180,-90.43,-62.93,0.01
181,266.06,-59.55,0.01
182,2.96,-57.43,0.01
183,-215.84,-59.19,0.01
184,240.33,-55.85,0.01
185,-19.75,-55.1,0.01
186,-72.27,-53.75,0.01
187,-70.08,-53.82,0.01
188,-59.81,-52.9,0.01
189,-149.12,-53.93,0.01
190,37.56,-52.9,0.01
191,-88.58,-53.25,0.01
192,-20.73,-52.84,0.01
193,-64.93,-53.17,0.01
194,-38.65,-51.12,0.01
195,42.75,-49.71,0.01
196,-10.12,-49.01,0.01
197,-29.62,-47.87,0.01
198,9.71,-46.89,0.01
199,-27.92,-46.29,0.01
200,-6.37,-44.87,0.01
201,-276.45,-46.91,0.01
202,-85.04,-45.14,0.01
203,-35.39,-44.48,0.01
204,26.75,-43.76,0.01
205,-54.84,-43.84,0.01
206,-13.71,-43.7,0.01
207,-32.84,-43.38,0.01
208,-61.01,-43.58,0.01
209,-63.25,-43.52,0.01
210,-38.92,-43.51,0.01
211,4.23,-42.84,0.01
212,-70.21,-42.96,0.01
213,-23.23,-42.43,0.01
214,-122.47,-43.36,0.01
215,59.05,-41.0,0.01
216,4.85,-40.5,0.01
217,-226.05,-42.03,0.01
218,-30.58,-41.79,0.01
219,-41.18,-41.6,0.01
220,-19.16,-41.59,0.01
221,-64.36,-41.74,0.01
222,-2.17,-41.41,0.01
223,-40.67,-41.72,0.01
224,-52.24,-41.34,0.01
225,-42.68,-41.28,0.01
226,-2.17,-40.64,0.01
227,14.09,-39.96,0.01
228,-19.66,-39.98,0.01
229,8.77,-39.11,0.01
230,7.99,-36.81,0.01
231,7.15,-36.31,0.01
232,11.15,-35.85,0.01
233,17.71,-32.97,0.01
234,-29.31,-33.17,0.01
235,43.51,-32.29,0.01
236,24.02,-31.27,0.01
237,-16.81,-30.58,0.01
238,-41.8,-29.24,0.01
239,-33.89,-29.69,0.01
240,277.51,-26.25,0.01
241,-27.2,-24.11,0.01
242,121.89,-22.09,0.01
243,-38.38,-22.47,0.01
244,-69.68,-22.81,0.01
245,-20.72,-22.69,0.01
246,-40.08,-22.2,0.01
247,-36.76,-21.62,0.01
248,-63.87,-21.83,0.01
249,-19.66,-21.37,0.01
250,-60.67,-22.19,0.01
251,34.83,-21.54,0.01
252,-56.76,-20.83,0.01
253,-7.19,-19.53,0.01
254,-3.87,-19.3,0.01
255,-25.92,-19.4,0.01
256,-50.18,-19.63,0.01
257,-26.44,-19.44,0.01
258,65.05,-18.99,0.01
