fta params:,lower,upper,delta,eta
,-2,2,0.2857142857142857,0.2857142857142857
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
193,116.83,-8.84,0.01
194,-18.05,-8.57,0.01
195,-40.24,-6.78,0.01
196,5.42,-6.12,0.01
197,-2.44,-5.5,0.01
198,-7.92,-5.67,0.01
199,-50.27,-5.8,0.01
200,-8.28,-6.81,0.01
201,-59.0,-7.06,0.01
202,-36.62,-7.01,0.01
203,-20.33,-7.42,0.01
204,-0.39,-5.83,0.01
205,-11.44,-5.82,0.01
206,-52.87,-6.05,0.01
207,-47.79,-6.3,0.01
208,0.42,-6.19,0.01
209,19.24,-5.43,0.01
210,-11.57,-5.15,0.01
211,-27.87,-5.25,0.01
212,-15.06,-5.2,0.01
213,-27.83,-5.05,0.01
214,-35.42,-5.47,0.01
215,-15.41,-5.21,0.01
216,-32.23,-6.31,0.01
217,-27.63,-6.12,0.01
218,8.8,-6.3,0.01
219,-22.14,-6.36,0.01
220,-13.01,-6.54,0.01
221,-40.66,-6.48,0.01
222,-47.5,-7.17,0.01
223,-22.84,-7.31,0.01
224,-12.72,-6.91,0.01
225,25.12,-6.29,0.01
226,4.84,-5.59,0.01
227,-1.96,-6.58,0.01
228,-49.53,-6.23,0.01
229,173.4,-3.78,0.01
230,-4.92,-3.2,0.01
231,-11.69,-3.06,0.01
232,-26.51,-2.87,0.01
233,4.8,-2.9,0.01
234,29.46,-2.23,0.01
235,-19.38,-2.08,0.01
236,-21.92,-3.8,0.01
237,-18.45,-4.06,0.01
238,5.73,-5.09,0.01
239,15.65,-4.91,0.01
240,17.19,-4.48,0.01
241,-2.5,-4.39,0.01
242,-9.77,-2.41,0.01
243,29.83,-1.91,0.01
244,53.28,-2.35,0.01
245,22.08,-2.12,0.01
246,2.3,-1.76,0.01
247,31.47,-2.45,0.01
248,-19.99,-5.01,0.01
249,-35.41,-4.59,0.01
250,56.56,-3.9,0.01
251,-3.7,-3.69,0.01
252,-31.69,-4.13,0.01
253,8.71,-4.51,0.01
254,-2.91,-4.43,0.01
255,11.74,-4.46,0.01
256,15.66,-4.54,0.01
257,6.77,-4.16,0.01
258,2.03,-3.94,0.01
259,-36.3,-3.86,0.01
260,-29.19,-4.6,0.01
261,53.2,-3.89,0.01
262,3.44,-3.46,0.01
263,13.85,-2.91,0.01
264,28.79,-2.01,0.01
265,3.34,-2.21,0.01
266,60.93,-1.37,0.01
267,-31.79,-2.86,0.01
268,60.54,-2.18,0.01
269,5.01,-1.8,0.01
270,25.25,-1.54,0.01
271,9.81,-1.39,0.01
272,46.67,-0.34,0.01
273,-27.41,-0.74,0.01
274,-5.7,-0.65,0.01
275,30.94,-1.13,0.01
276,18.07,-1.32,0.01
277,39.07,-0.28,0.01
278,-5.38,-0.59,0.01
279,31.72,-0.21,0.01
280,11.98,-0.13,0.01
281,40.06,0.57,0.01
