fta params:,lower,upper,delta,eta
,-1,1,0.15384615384615385,0.15384615384615385
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,10
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-131.67,-131.67,1.0
1,-179.17,-155.42,0.99
2,-343.67,-218.17,0.99
3,-144.09,-199.65,0.98
4,-242.6,-208.24,0.98
5,-129.46,-195.11,0.97
6,-278.14,-206.97,0.97
7,-113.54,-195.29,0.97
8,-168.4,-192.3,0.96
9,-111.3,-184.2,0.96
10,-186.82,-184.44,0.95
11,-338.48,-197.28,0.95
12,-212.07,-198.42,0.94
13,-223.25,-200.19,0.94
14,91.48,-180.74,0.91
15,-90.46,-175.1,0.91
16,-142.96,-173.21,0.9
17,-117.26,-170.1,0.89
18,-52.12,-163.89,0.89
19,-166.61,-164.03,0.88
20,-154.93,-163.6,0.88
21,-123.92,-161.79,0.87
22,-58.75,-157.31,0.86
23,-18.23,-151.52,0.86
24,-60.98,-147.9,0.85
25,-134.9,-147.4,0.85
26,-110.9,-146.04,0.84
27,-102.18,-144.48,0.84
28,-100.35,-142.96,0.83
29,-149.99,-143.19,0.83
30,-128.48,-142.72,0.82
31,-79.71,-140.75,0.82
32,-86.01,-139.09,0.81
33,-54.99,-136.61,0.81
34,-246.1,-139.74,0.8
35,-54.56,-137.38,0.8
36,-132.03,-137.23,0.8
37,-62.47,-135.26,0.79
38,-88.39,-134.06,0.78
39,-77.14,-132.64,0.78
40,-38.84,-130.35,0.78
41,11.84,-126.97,0.77
42,-131.98,-127.08,0.77
43,-83.76,-126.1,0.76
44,-101.75,-125.56,0.76
45,-78.38,-124.53,0.75
46,-111.41,-124.25,0.74
47,-95.15,-123.65,0.74
48,-120.34,-123.58,0.73
49,-90.12,-122.91,0.73
50,-96.0,-122.38,0.73
51,-130.78,-122.54,0.72
52,-98.38,-122.09,0.71
53,13.43,-119.58,0.71
54,-140.56,-119.96,0.7
55,-228.82,-121.9,0.7
56,-77.5,-121.12,0.69
57,-59.54,-120.06,0.69
58,-176.03,-121.01,0.68
59,-73.16,-120.21,0.67
60,-103.82,-119.94,0.67
61,-131.34,-120.13,0.66
62,-62.89,-119.22,0.66
63,-37.48,-117.94,0.65
64,-79.42,-117.35,0.64
65,-60.51,-116.49,0.64
66,-30.15,-115.2,0.63
67,-17.8,-113.77,0.63
68,-63.35,-113.04,0.62
69,-224.24,-114.63,0.61
70,-72.75,-114.04,0.61
71,-62.89,-113.33,0.6
72,-85.4,-112.94,0.6
73,-85.9,-112.58,0.59
74,-46.79,-111.7,0.58
75,-7.07,-110.32,0.58
76,-29.32,-109.27,0.57
77,-93.28,-109.07,0.57
78,-140.43,-109.46,0.56
79,-67.73,-108.94,0.55
80,-45.85,-108.16,0.55
81,-196.32,-109.24,0.54
82,-48.44,-108.51,0.54
83,-345.47,-111.33,0.53
84,-107.38,-111.28,0.53
85,-37.69,-110.42,0.52
86,-74.63,-110.01,0.52
87,-48.73,-109.32,0.51
88,-59.11,-108.75,0.51
89,-24.32,-107.81,0.5
90,-49.64,-107.18,0.49
91,-86.94,-106.96,0.49
92,44.21,-105.33,0.48
93,-93.49,-105.2,0.47
94,-37.82,-104.49,0.47
95,-179.02,-105.27,0.46
96,-58.75,-104.79,0.45
97,-85.98,-104.6,0.45
98,-4.97,-103.59,0.44
99,122.36,-101.33,0.42
100,-37.61,-100.39,0.41
101,-32.48,-98.93,0.4
102,-108.73,-96.58,0.4
103,-49.65,-95.63,0.39
104,-15.45,-93.36,0.38
105,-21.76,-92.28,0.37
106,-24.85,-89.75,0.36
107,-95.95,-89.57,0.36
108,-34.43,-88.24,0.35
109,-91.13,-88.03,0.34
110,21.76,-85.95,0.33
111,-16.61,-82.73,0.32
112,-60.7,-81.22,0.32
113,-50.99,-79.49,0.31
114,-4.94,-80.46,0.3
115,-31.09,-79.86,0.29
116,-33.66,-78.77,0.28
117,1.73,-77.58,0.26
