fta params:,lower,upper,delta,eta
,-0.1,0.1,0.016666666666666666,0.016666666666666666
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,30
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-124.88,-124.88,1.0
1,-311.1,-217.99,0.99
2,-128.4,-188.13,0.99
3,-177.41,-185.45,0.99
4,-91.22,-166.6,0.98
5,-144.05,-162.84,0.98
6,-102.04,-154.16,0.97
7,-90.42,-146.19,0.97
8,-153.92,-147.05,0.96
9,-179.55,-150.3,0.96
10,-146.23,-149.93,0.95
11,-316.84,-163.84,0.95
12,-114.18,-160.02,0.94
13,-72.37,-153.76,0.94
14,-99.1,-150.11,0.94
15,-111.11,-147.68,0.93
16,-133.02,-146.81,0.92
17,-55.83,-141.76,0.92
18,-59.21,-137.41,0.92
19,-8.09,-130.95,0.91
20,-124.47,-130.64,0.91
21,-123.25,-130.3,0.9
22,-210.26,-133.78,0.9
23,-195.22,-136.34,0.89
24,-271.55,-141.75,0.89
25,-79.17,-139.34,0.88
26,-245.88,-143.29,0.88
27,-222.59,-146.12,0.87
28,-89.56,-144.17,0.87
29,-115.25,-143.21,0.86
30,-47.78,-140.13,0.86
31,-86.3,-138.45,0.85
32,-61.03,-136.1,0.85
33,-111.83,-135.39,0.84
34,-127.22,-135.15,0.84
35,-115.71,-134.61,0.83
36,-97.07,-133.6,0.82
37,-168.98,-134.53,0.82
38,-152.99,-135.0,0.81
39,-212.63,-136.94,0.81
40,-92.98,-135.87,0.8
41,-114.92,-135.37,0.8
42,-169.67,-136.17,0.79
43,-126.6,-135.95,0.79
44,-49.5,-134.03,0.79
45,-144.97,-134.27,0.78
46,-80.39,-133.12,0.78
47,-196.75,-134.45,0.77
48,-53.91,-132.8,0.77
49,-177.46,-133.7,0.76
50,-70.98,-132.47,0.76
51,-113.17,-132.1,0.75
52,-129.68,-132.05,0.75
53,-82.58,-131.13,0.74
54,-98.47,-130.54,0.73
55,-54.71,-129.19,0.73
56,-296.33,-132.12,0.72
57,-29.34,-130.35,0.72
58,-97.82,-129.8,0.71
59,-119.59,-129.63,0.71
60,-102.77,-129.19,0.7
61,-56.86,-128.02,0.69
62,-86.23,-127.36,0.69
63,-295.46,-129.98,0.68
64,-101.94,-129.55,0.68
65,-97.12,-129.06,0.67
66,-114.22,-128.84,0.66
67,-171.77,-129.47,0.66
68,-208.58,-130.62,0.65
69,-292.32,-132.93,0.64
70,-14.36,-131.26,0.64
71,-338.06,-134.13,0.63
72,-57.63,-133.08,0.63
73,-39.51,-131.82,0.62
74,-221.57,-133.01,0.61
75,-106.25,-132.66,0.61
76,-74.41,-131.9,0.6
77,-81.23,-131.25,0.6
78,-80.06,-130.61,0.6
79,-86.59,-130.06,0.59
80,-155.2,-130.37,0.59
81,-239.67,-131.7,0.58
82,-319.39,-133.96,0.57
83,-62.98,-133.12,0.56
84,-176.75,-133.63,0.56
85,-182.38,-134.2,0.55
86,-245.29,-135.47,0.54
87,-91.18,-134.97,0.54
88,-137.69,-135.0,0.53
89,-17.95,-133.7,0.52
90,-75.76,-133.06,0.51
91,-45.12,-132.11,0.5
92,-66.79,-131.4,0.5
93,-86.2,-130.92,0.49
94,-50.6,-130.08,0.49
95,-140.8,-130.19,0.46
96,-43.28,-129.29,0.46
97,-68.78,-128.68,0.45
98,-68.34,-128.07,0.44
99,-29.38,-127.08,0.43
100,-165.13,-127.48,0.43
101,-486.18,-129.23,0.42
102,12.13,-127.83,0.4
103,-253.4,-128.59,0.39
104,-71.73,-128.39,0.38
105,-150.11,-128.45,0.38
106,-277.66,-130.21,0.36
107,-222.76,-131.53,0.35
108,-24.49,-130.24,0.35
109,-43.28,-128.88,0.34
110,1.76,-127.4,0.33
111,-6.13,-124.29,0.32
112,-57.42,-123.72,0.32
113,-188.77,-124.89,0.31
114,-275.84,-126.65,0.3
115,-214.27,-127.68,0.3
116,-263.51,-128.99,0.29
117,-71.52,-129.15,0.28
118,-31.61,-128.87,0.27
119,-25.82,-129.05,0.26
120,-51.51,-128.32,0.25
121,-256.33,-129.65,0.24
122,-37.63,-127.92,0.24
123,-51.27,-126.48,0.22
124,-5.67,-123.82,0.21
125,-211.85,-125.15,0.2
126,-55.53,-123.25,0.19
127,-58.64,-121.61,0.18
128,-199.03,-122.7,0.17
129,-337.34,-124.92,0.15
130,-185.06,-126.3,0.14
131,-3.01,-125.46,0.13
132,-52.5,-125.38,0.12
133,29.33,-123.97,0.09
134,-248.41,-125.18,0.08
135,-280.06,-126.82,0.06
136,-70.56,-126.56,0.03
137,-283.68,-127.7,0.01
138,-157.45,-127.75,0.01
139,-105.76,-126.68,0.01
140,-42.6,-126.18,0.01
141,-7.51,-125.1,0.01
142,-30.96,-123.71,0.01
143,53.41,-121.91,0.01
144,-294.92,-124.37,0.01
145,-36.85,-123.29,0.01
146,57.56,-121.91,0.01
147,-6.15,-120.0,0.01
148,-36.35,-119.83,0.01
149,-65.46,-118.71,0.01
150,-65.36,-118.65,0.01
151,15.31,-117.37,0.01
152,-56.16,-116.63,0.01
153,-3.49,-115.84,0.01
154,-74.8,-115.6,0.01
155,-8.69,-115.14,0.01
156,38.44,-111.79,0.01
157,-8.45,-111.59,0.01
158,-37.96,-110.99,0.01
159,-27.8,-110.07,0.01
160,-5.67,-109.1,0.01
161,-55.25,-109.08,0.01
162,-261.76,-110.84,0.01
163,-20.22,-108.09,0.01
164,-9.45,-107.16,0.01
165,-66.18,-106.85,0.01
166,-65.7,-106.37,0.01
167,-41.7,-105.07,0.01
168,-159.72,-104.58,0.01
169,-53.34,-102.19,0.01
170,-67.73,-102.72,0.01
171,-55.01,-99.89,0.01
172,-41.97,-99.73,0.01
173,-47.52,-99.81,0.01
174,-61.56,-98.21,0.01
175,-0.23,-97.15,0.01
176,-48.51,-96.89,0.01
177,-23.81,-96.32,0.01
178,-1.26,-95.53,0.01
179,-36.27,-95.03,0.01
180,-43.82,-93.91,0.01
181,-32.64,-91.84,0.01
182,-14.51,-88.8,0.01
183,-20.76,-88.37,0.01
184,-52.06,-87.13,0.01
185,-37.84,-85.68,0.01
186,-52.4,-83.75,0.01
187,-35.49,-83.2,0.01
188,-81.84,-82.64,0.01
189,-50.66,-82.96,0.01
190,-47.68,-82.68,0.01
191,-40.74,-82.64,0.01
192,-27.02,-82.24,0.01
193,-34.18,-81.72,0.01
194,-30.75,-81.52,0.01
195,-64.27,-80.76,0.01
196,-39.1,-80.72,0.01
197,-8.88,-80.12,0.01
198,-14.59,-79.58,0.01
199,-19.98,-79.49,0.01
200,-43.05,-78.26,0.01
201,-21.02,-73.61,0.01
202,-21.86,-73.95,0.01
203,-29.83,-71.72,0.01
204,-29.88,-71.3,0.01
205,-21.08,-70.01,0.01
