fta params:,lower,upper,delta,eta
,-1,1,0.18181818181818182,0.18181818181818182
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,20
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-420.48,-420.48,1.0
1,-151.62,-286.05,0.99
2,-380.85,-317.65,0.99
3,-149.96,-275.73,0.98
4,-459.77,-312.54,0.98
5,-405.34,-328.0,0.97
6,-73.09,-291.59,0.97
7,-362.59,-300.46,0.96
8,-104.0,-278.63,0.96
9,-224.93,-273.26,0.96
10,-76.88,-255.41,0.95
11,-335.56,-262.09,0.95
12,-328.21,-267.18,0.94
13,-411.33,-277.47,0.94
14,-143.73,-268.56,0.93
15,-281.32,-269.35,0.93
16,-137.08,-261.57,0.92
17,-67.94,-250.82,0.92
18,-226.95,-249.56,0.92
19,-200.56,-247.11,0.91
20,-199.99,-244.87,0.91
21,-81.55,-237.44,0.9
22,-269.21,-238.82,0.9
23,-181.53,-236.44,0.89
24,-104.06,-231.14,0.89
25,-246.31,-231.72,0.89
26,-82.01,-226.18,0.88
27,-235.92,-226.53,0.88
28,-195.66,-225.46,0.87
29,-85.21,-220.79,0.86
30,-103.72,-217.01,0.86
31,1.61,-210.18,0.85
32,-94.85,-206.68,0.85
33,-77.37,-202.88,0.84
34,-41.96,-198.28,0.84
35,-211.63,-198.65,0.83
36,-307.54,-201.6,0.83
37,-157.93,-200.45,0.82
38,-108.75,-198.1,0.82
39,-83.2,-195.22,0.81
40,-69.08,-192.15,0.81
41,-100.57,-189.97,0.8
42,-120.45,-188.35,0.8
43,-304.31,-190.99,0.79
44,-106.31,-189.1,0.79
45,-283.21,-191.15,0.78
46,-50.51,-188.16,0.77
47,-69.34,-185.68,0.77
48,-85.08,-183.63,0.76
49,-112.44,-182.21,0.76
50,-99.98,-180.59,0.75
51,-168.45,-180.36,0.75
52,-80.23,-178.47,0.74
53,-98.46,-176.99,0.73
54,-118.48,-175.93,0.73
55,-151.31,-175.49,0.72
56,-47.53,-173.24,0.72
57,-91.77,-171.84,0.71
58,-29.28,-169.42,0.71
59,-62.75,-167.64,0.7
60,-64.78,-165.96,0.7
61,-105.98,-164.99,0.69
62,-42.75,-163.05,0.69
63,-60.74,-161.45,0.68
64,-85.63,-160.28,0.68
65,-189.1,-160.72,0.67
66,-74.1,-159.43,0.67
67,-60.26,-157.97,0.67
68,-91.79,-157.01,0.66
69,-98.74,-156.18,0.65
70,-100.15,-155.39,0.65
71,-65.92,-154.15,0.64
72,-88.14,-153.24,0.63
