fta params:,lower,upper,delta,eta
,-2,2,0.36363636363636365,0.36363636363636365
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,40
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-126.59,-126.59,1.0
1,-119.46,-123.03,0.99
2,-104.3,-116.79,0.99
3,-90.34,-110.17,0.99
4,-92.98,-106.74,0.98
5,-69.77,-100.57,0.98
6,-94.0,-99.63,0.97
7,-158.44,-106.99,0.97
8,-133.82,-109.97,0.97
9,-102.82,-109.25,0.96
10,-116.23,-109.89,0.96
11,-329.82,-128.21,0.95
12,-326.03,-143.43,0.95
13,-81.81,-139.03,0.94
14,-389.35,-155.72,0.94
15,-213.93,-159.36,0.93
16,-80.59,-154.72,0.93
17,-289.4,-162.2,0.92
18,-276.27,-168.21,0.92
19,-427.43,-181.17,0.91
20,-179.64,-181.1,0.91
21,-143.65,-179.39,0.9
22,-110.06,-176.38,0.89
23,-121.89,-174.11,0.89
24,-209.04,-175.51,0.89
25,-94.67,-172.4,0.88
26,-133.68,-170.96,0.88
27,-88.49,-168.02,0.87
28,-196.86,-169.01,0.87
29,-99.77,-166.7,0.86
30,-96.54,-164.44,0.86
31,-91.2,-162.15,0.85
32,-301.5,-166.38,0.85
33,-139.65,-165.59,0.84
34,-81.08,-163.17,0.84
35,-91.72,-161.19,0.84
36,-79.75,-158.99,0.83
37,-167.7,-159.22,0.83
38,-26.15,-155.81,0.82
39,-75.86,-153.81,0.82
40,-101.74,-152.54,0.81
41,-70.69,-150.59,0.81
42,-112.11,-149.69,0.8
43,-71.47,-147.92,0.8
44,-100.76,-146.87,0.79
45,-93.87,-145.72,0.79
46,-51.58,-143.71,0.79
47,-64.16,-142.06,0.78
48,-111.75,-141.44,0.78
49,-70.88,-140.03,0.77
50,-90.25,-139.05,0.77
51,-62.36,-137.58,0.76
52,-62.36,-136.16,0.76
53,-59.11,-134.73,0.76
54,-179.44,-135.54,0.75
55,-104.27,-134.98,0.75
56,-119.9,-134.72,0.74
57,-123.3,-134.52,0.74
58,-14.9,-132.49,0.73
59,-53.87,-131.18,0.72
60,-183.41,-132.04,0.72
61,-115.75,-131.78,0.71
62,-55.55,-130.57,0.71
63,-96.3,-130.03,0.7
64,-90.48,-129.42,0.7
65,-60.59,-128.38,0.69
66,26.04,-126.08,0.68
67,-49.6,-124.95,0.68
68,-66.99,-124.11,0.67
69,-70.13,-123.34,0.66
70,-51.69,-122.33,0.66
71,-67.99,-121.58,0.65
72,-96.22,-121.23,0.64
73,-31.31,-120.01,0.64
74,-65.68,-119.29,0.63
75,-33.26,-118.16,0.63
76,-111.13,-118.07,0.62
77,-45.72,-117.14,0.61
78,-55.58,-116.36,0.61
79,-33.25,-115.32,0.6
80,-22.96,-114.18,0.6
81,-52.61,-113.43,0.59
82,-57.38,-112.75,0.59
83,-72.48,-112.27,0.58
84,-28.13,-111.28,0.57
85,-90.73,-111.05,0.57
86,-74.24,-110.62,0.56
87,-34.53,-109.76,0.56
88,-88.52,-109.52,0.54
89,-40.63,-108.75,0.54
90,-50.98,-108.12,0.53
91,-28.48,-107.25,0.53
92,5.42,-106.04,0.52
93,-44.74,-105.39,0.51
94,-10.87,-104.39,0.5
95,-97.39,-104.32,0.5
96,5.71,-103.19,0.49
97,-29.85,-102.44,0.49
98,-61.79,-102.03,0.48
99,-25.45,-101.26,0.47
100,-68.15,-100.68,0.47
101,-71.08,-100.19,0.46
102,-73.27,-99.88,0.45
103,-5.42,-99.04,0.44
104,-32.55,-98.43,0.43
105,-56.84,-98.3,0.43
106,-65.2,-98.01,0.42
107,-71.04,-97.14,0.41
108,-2.03,-95.82,0.41
109,-67.08,-95.46,0.4
110,28.05,-94.02,0.39
111,-7.58,-90.8,0.38
112,-54.62,-88.08,0.38
113,-63.76,-87.9,0.37
114,14.75,-83.86,0.36
115,-42.99,-82.15,0.34
116,-88.89,-82.24,0.32
117,-23.32,-79.58,0.31
118,-38.31,-77.2,0.3
119,15.91,-72.76,0.29
120,-3.49,-71.0,0.29
121,-41.49,-69.98,0.27
122,0.9,-68.87,0.26
123,-21.78,-67.87,0.25
124,-343.08,-69.21,0.24
125,-54.79,-68.81,0.22
126,-30.62,-67.78,0.21
127,26.19,-66.63,0.2
128,-72.23,-65.39,0.17
129,140.13,-62.99,0.15
130,63.35,-61.39,0.12
131,25.72,-60.22,0.11
132,-29.33,-57.5,0.09
133,-27.55,-56.38,0.06
134,125.92,-54.31,0.04
135,-32.96,-53.72,0.02
136,-74.64,-53.67,0.01
137,-57.4,-52.57,0.01
138,-45.44,-52.76,0.01
139,-101.52,-53.02,0.01
140,-66.73,-52.67,0.01
141,-31.85,-52.28,0.01
142,-66.96,-51.83,0.01
143,-33.68,-51.45,0.01
144,186.25,-48.58,0.01
145,8.65,-47.55,0.01
146,-29.86,-47.33,0.01
147,-44.9,-47.14,0.01
148,-326.35,-49.29,0.01
149,-201.98,-50.6,0.01
150,28.96,-49.41,0.01
151,-54.51,-49.33,0.01
152,48.69,-48.22,0.01
153,88.3,-46.74,0.01
