fta params:,lower,upper,delta,eta
,-0.25,0.25,0.038461538461538464,0.038461538461538464
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,20
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
0,-306.31,-306.31,1.0
1,-148.09,-227.2,0.99
2,-97.47,-183.96,0.99
3,-147.24,-174.78,0.98
4,-152.4,-170.3,0.98
5,-107.13,-159.77,0.97
6,-283.79,-177.49,0.97
7,-94.7,-167.14,0.96
8,-251.69,-176.54,0.96
9,-207.71,-179.65,0.95
10,-95.85,-172.03,0.95
11,-189.1,-173.46,0.94
12,-62.64,-164.93,0.94
13,-91.95,-159.72,0.94
14,-182.2,-161.22,0.93
15,-76.05,-155.9,0.93
16,-71.81,-150.95,0.92
17,-81.04,-147.07,0.92
18,-193.17,-149.49,0.91
19,-98.81,-146.96,0.91
20,-171.99,-148.15,0.9
21,-102.99,-146.1,0.9
22,11.74,-139.23,0.89
23,-129.6,-138.83,0.89
24,-125.21,-138.29,0.89
25,-114.74,-137.38,0.88
26,-53.28,-134.27,0.88
27,-66.53,-131.85,0.87
28,-135.07,-131.96,0.87
29,-150.71,-132.59,0.86
30,-102.91,-131.63,0.86
31,-249.77,-135.32,0.85
32,-80.24,-133.65,0.85
33,-111.89,-133.01,0.84
34,-424.37,-141.34,0.84
35,-176.89,-142.32,0.83
36,-87.13,-140.83,0.83
37,-100.92,-139.78,0.82
38,-55.0,-137.61,0.82
39,-38.54,-135.13,0.81
40,-114.13,-134.62,0.81
41,-85.42,-133.45,0.8
42,-118.19,-133.09,0.8
43,-50.37,-131.21,0.8
44,-219.25,-133.17,0.79
45,-289.32,-136.56,0.78
46,-70.89,-135.17,0.78
47,-87.69,-134.18,0.78
48,-84.87,-133.17,0.77
49,-61.79,-131.74,0.77
50,-59.97,-130.34,0.77
51,-205.38,-131.78,0.76
52,-122.2,-131.6,0.76
53,-191.4,-132.71,0.75
54,-83.47,-131.81,0.75
55,-42.19,-130.21,0.74
56,-154.31,-130.63,0.74
57,-60.98,-129.43,0.73
58,-109.67,-129.1,0.73
59,-63.29,-128.0,0.72
60,-109.14,-127.69,0.72
61,-89.19,-127.07,0.71
62,-184.62,-127.98,0.71
63,-51.74,-126.79,0.71
64,-274.19,-129.06,0.7
65,-104.91,-128.69,0.7
66,-99.92,-128.26,0.69
67,-133.1,-128.34,0.69
68,-45.06,-127.13,0.68
69,-77.44,-126.42,0.67
70,-80.43,-125.77,0.67
71,-132.05,-125.86,0.66
72,-54.25,-124.88,0.66
73,-101.4,-124.56,0.65
74,-69.92,-123.83,0.65
75,-147.14,-124.14,0.64
76,-298.55,-126.4,0.63
77,-70.71,-125.69,0.63
78,-26.88,-124.44,0.62
79,-36.8,-123.34,0.62
80,-64.2,-122.61,0.62
81,-97.92,-122.31,0.61
82,-84.04,-121.85,0.6
83,-50.75,-121.0,0.59
84,-46.33,-120.13,0.58
85,-74.77,-119.6,0.58
86,79.38,-117.31,0.56
87,-83.95,-116.93,0.55
88,-26.48,-115.92,0.54
89,-9.13,-114.73,0.54
90,-66.79,-114.2,0.53
91,-24.16,-113.22,0.53
92,-149.97,-113.62,0.52
93,-59.17,-113.04,0.52
94,4.23,-111.81,0.51
95,-186.95,-112.59,0.51
96,-15.91,-111.59,0.5
97,-38.27,-110.84,0.49
98,-50.63,-110.24,0.48
99,-38.93,-109.52,0.48
100,-37.14,-106.83,0.47
101,-45.39,-105.8,0.46
102,-46.91,-105.3,0.45
103,-37.37,-104.2,0.45
104,-69.76,-103.37,0.44
105,-33.59,-102.64,0.43
106,-89.84,-100.7,0.43
107,-85.92,-100.61,0.42
108,-92.87,-99.02,0.4
109,-116.64,-98.11,0.4
110,-38.83,-97.54,0.39
111,-65.32,-96.3,0.38
112,-38.15,-96.06,0.37
113,22.51,-94.91,0.36
114,-20.23,-93.29,0.34
115,-49.67,-93.03,0.34
116,-7.93,-92.39,0.33
117,-77.49,-92.36,0.32
118,10.16,-90.32,0.32
119,-16.24,-89.5,0.31
120,-92.97,-88.71,0.3
121,-99.69,-88.67,0.29
122,-98.83,-89.78,0.28
123,-7.37,-88.56,0.27
124,8.58,-87.22,0.27
125,3.29,-86.04,0.26
126,-55.13,-86.06,0.25
127,-13.35,-85.53,0.24
128,-38.74,-84.56,0.23
129,-10.3,-83.16,0.22
130,-0.24,-82.13,0.22
131,-6.12,-79.69,0.2
132,-63.1,-79.52,0.19
133,-97.51,-79.38,0.18
134,-23.6,-75.37,0.17
135,-39.89,-74.0,0.15
136,-68.06,-73.81,0.13
