fta params:,lower,upper,delta,eta
,-0.25,0.25,0.045454545454545456,0.045454545454545456
agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
Episode:,Score:,Average Score:,Epsilon:
191,7.78,-63.13,0.01
192,-63.07,-63.66,0.01
193,-71.54,-62.32,0.01
194,-59.56,-62.29,0.01
195,-52.43,-60.84,0.01
196,-44.26,-60.74,0.01
197,-37.32,-60.75,0.01
198,-38.76,-60.53,0.01
199,-84.21,-60.79,0.01
200,-36.14,-59.94,0.01
201,-23.65,-59.51,0.01
202,-10.45,-57.99,0.01
203,-1.23,-57.13,0.01
204,2.67,-56.48,0.01
205,-37.94,-56.22,0.01
206,18.56,-55.28,0.01
207,4.16,-54.33,0.01
208,-41.02,-53.62,0.01
209,-38.82,-53.41,0.01
210,-43.88,-53.2,0.01
211,-55.97,-53.17,0.01
212,-54.71,-52.89,0.01
213,-34.08,-52.84,0.01
214,-81.14,-53.13,0.01
215,-39.04,-53.25,0.01
216,-46.23,-53.01,0.01
217,-138.8,-53.46,0.01
218,71.13,-52.31,0.01
219,-48.2,-52.23,0.01
220,-78.2,-52.27,0.01
221,0.73,-47.03,0.01
222,-19.66,-46.97,0.01
223,-50.79,-47.64,0.01
224,-67.92,-47.61,0.01
225,-42.13,-47.45,0.01
226,-53.1,-47.46,0.01
227,-66.56,-47.96,0.01
228,11.63,-47.38,0.01
229,-56.54,-46.98,0.01
230,25.83,-46.5,0.01
231,-33.78,-46.95,0.01
232,-23.03,-47.31,0.01
233,-7.57,-46.54,0.01
234,-11.09,-46.62,0.01
235,-59.14,-46.81,0.01
236,-32.48,-46.86,0.01
237,-70.75,-46.99,0.01
238,-28.65,-46.56,0.01
239,-30.5,-46.32,0.01
240,-43.33,-46.46,0.01
241,-58.81,-47.14,0.01
242,-76.24,-47.94,0.01
243,-50.88,-47.56,0.01
244,-62.96,-47.91,0.01
245,62.39,-47.07,0.01
246,-57.08,-45.89,0.01
247,-8.83,-45.68,0.01
248,-153.44,-46.69,0.01
249,-37.59,-46.55,0.01
250,-62.97,-46.67,0.01
251,-1.18,-45.87,0.01
252,-63.29,-45.96,0.01
253,-91.6,-46.2,0.01
254,-77.18,-46.02,0.01
255,-15.14,-40.83,0.01
256,-73.15,-41.21,0.01
257,-41.07,-41.41,0.01
258,-44.78,-42.33,0.01
259,-63.38,-42.42,0.01
260,-40.34,-43.45,0.01
261,0.94,-42.91,0.01
262,-36.04,-43.05,0.01
263,9.87,-42.39,0.01
264,-38.74,-42.16,0.01
265,-35.26,-42.16,0.01
266,-71.16,-42.87,0.01
267,-50.02,-42.23,0.01
268,-49.58,-42.54,0.01
269,-74.52,-42.78,0.01
270,-48.83,-42.4,0.01
271,-49.64,-42.01,0.01
272,-79.24,-42.12,0.01
273,-52.04,-41.92,0.01
274,-15.86,-41.32,0.01
275,-11.68,-40.88,0.01
276,-35.55,-41.03,0.01
277,6.81,-40.69,0.01
278,-32.96,-41.32,0.01
279,-40.44,-40.85,0.01
280,-88.81,-41.53,0.01
281,-42.93,-41.53,0.01
282,-59.87,-41.4,0.01
283,4.36,-41.12,0.01
284,-54.98,-40.82,0.01
285,-22.41,-41.0,0.01
286,-24.09,-40.91,0.01
287,-43.73,-40.65,0.01
288,-15.54,-40.46,0.01
289,-45.09,-40.32,0.01
290,-63.42,-39.93,0.01
291,-32.52,-40.33,0.01
292,-55.1,-40.26,0.01
293,-31.1,-39.85,0.01
294,-32.3,-39.58,0.01
295,-33.62,-39.39,0.01
296,-36.47,-39.31,0.01
297,-12.84,-39.07,0.01
298,-72.26,-39.4,0.01
299,-17.26,-38.73,0.01
300,-42.12,-38.79,0.01
301,0.4,-38.55,0.01
302,-51.83,-38.97,0.01
303,3.27,-38.92,0.01
304,-2.14,-38.97,0.01
305,-36.36,-38.95,0.01
306,-140.29,-40.54,0.01
