activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
192,-43.82,-63.01,0.01
193,-69.27,-63.76,0.01
194,-40.11,-63.58,0.01
195,-44.41,-63.23,0.01
196,-26.68,-63.39,0.01
197,-77.26,-61.99,0.01
198,-67.09,-63.05,0.01
199,-26.04,-64.33,0.01
200,-19.87,-64.37,0.01
201,-53.52,-64.72,0.01
202,-58.71,-65.06,0.01
203,7.77,-65.0,0.01
204,-100.08,-66.57,0.01
205,-35.19,-63.84,0.01
206,-77.44,-62.55,0.01
207,-27.74,-62.41,0.01
208,-17.95,-61.41,0.01
209,-51.48,-61.18,0.01
210,-35.99,-60.79,0.01
211,-31.46,-60.25,0.01
212,-27.0,-59.73,0.01
213,-62.45,-59.38,0.01
214,-5.42,-58.78,0.01
215,-19.86,-58.28,0.01
216,-31.48,-57.77,0.01
217,64.38,-56.39,0.01
218,-43.93,-55.78,0.01
219,-45.19,-55.37,0.01
220,6.12,-54.15,0.01
221,194.37,-51.16,0.01
222,155.28,-48.78,0.01
223,-15.53,-48.49,0.01
224,218.3,-45.69,0.01
225,-85.51,-45.76,0.01
226,-14.26,-45.06,0.01
227,11.65,-44.11,0.01
228,-80.67,-44.5,0.01
229,206.2,-41.9,0.01
230,-62.21,-41.9,0.01
231,214.49,-39.08,0.01
232,188.0,-36.47,0.01
233,244.2,-33.2,0.01
234,140.66,-31.14,0.01
235,-86.73,-31.32,0.01
236,-82.96,-31.39,0.01
237,-25.07,-31.36,0.01
238,192.78,-28.73,0.01
239,139.25,-26.29,0.01
240,5.94,-25.04,0.01
241,145.95,-22.62,0.01
242,-215.84,-24.22,0.01
243,-270.49,-26.57,0.01
244,-327.93,-29.25,0.01
245,-20.43,-28.59,0.01
246,7.79,-28.18,0.01
247,-71.93,-28.5,0.01
248,-308.43,-30.77,0.01
249,18.44,-29.84,0.01
250,-19.8,-29.63,0.01
251,-38.3,-29.52,0.01
252,-31.57,-29.52,0.01
253,-10.85,-29.17,0.01
254,146.19,-26.94,0.01
