activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,FTA(),0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
196,-153.04,-34.94,0.01
197,0.01,-34.11,0.01
198,248.58,-31.49,0.01
199,-116.37,-32.71,0.01
200,17.08,-32.19,0.01
201,105.87,-30.9,0.01
202,28.0,-29.91,0.01
203,-101.35,-30.61,0.01
204,-111.67,-31.21,0.01
205,36.91,-30.45,0.01
206,-134.83,-31.91,0.01
207,241.47,-29.48,0.01
208,-110.56,-29.92,0.01
209,15.78,-29.6,0.01
210,187.32,-27.48,0.01
211,-28.66,-27.4,0.01
212,-74.3,-27.62,0.01
213,-128.05,-28.57,0.01
214,-25.84,-28.81,0.01
215,-103.82,-29.56,0.01
216,-85.07,-24.15,0.01
217,-105.96,-24.86,0.01
218,-67.88,-25.45,0.01
219,-128.76,-26.71,0.01
220,-106.47,-26.91,0.01
221,-57.83,-27.58,0.01
222,-90.78,-28.41,0.01
223,-78.96,-29.08,0.01
224,-62.06,-29.42,0.01
225,0.9,-29.69,0.01
226,-112.16,-30.97,0.01
227,-35.48,-31.08,0.01
228,-11.22,-31.18,0.01
229,-71.82,-32.43,0.01
230,-89.3,-33.34,0.01
231,-111.42,-34.33,0.01
232,-36.78,-34.8,0.01
233,127.71,-33.62,0.01
234,-6.45,-33.78,0.01
235,-40.46,-34.38,0.01
236,-49.67,-34.79,0.01
237,-28.92,-33.06,0.01
238,-53.07,-33.39,0.01
239,-301.42,-34.92,0.01
240,2.02,-35.18,0.01
241,-42.95,-35.2,0.01
242,-106.67,-36.52,0.01
243,5.55,-34.99,0.01
244,-115.6,-36.35,0.01
245,-48.66,-37.06,0.01
246,-11.35,-35.96,0.01
247,-47.62,-36.6,0.01
248,-29.81,-37.31,0.01
249,-5.66,-37.69,0.01
250,-22.62,-38.47,0.01
251,-29.99,-39.25,0.01
252,-12.06,-39.66,0.01
253,1.33,-40.22,0.01
254,-17.56,-40.87,0.01
255,7.54,-39.14,0.01
256,-70.24,-39.79,0.01
257,-29.57,-40.53,0.01
258,-41.84,-40.71,0.01
259,-61.35,-41.43,0.01
260,-75.36,-42.34,0.01
261,-27.33,-43.1,0.01
262,-12.39,-45.57,0.01
263,-45.51,-44.54,0.01
264,-70.89,-45.69,0.01
265,-16.9,-46.15,0.01
266,-40.3,-45.98,0.01
267,1.81,-45.37,0.01
268,-82.61,-46.27,0.01
269,-43.01,-46.77,0.01
270,-77.2,-47.13,0.01
271,-27.48,-47.26,0.01
272,-105.84,-48.14,0.01
273,-227.65,-50.57,0.01
274,-28.03,-51.09,0.01
275,-66.93,-51.55,0.01
276,-46.36,-50.88,0.01
277,40.13,-50.84,0.01
278,-34.42,-50.45,0.01
279,-46.07,-51.11,0.01
280,38.59,-49.57,0.01
281,-83.47,-49.15,0.01
282,46.92,-49.1,0.01
283,-35.14,-49.12,0.01
284,73.15,-47.45,0.01
285,-24.26,-45.04,0.01
286,-17.63,-45.43,0.01
287,30.56,-44.14,0.01
288,192.97,-41.08,0.01
289,107.96,-39.81,0.01
290,-41.58,-41.24,0.01
291,-50.06,-33.67,0.01
292,65.02,-34.37,0.01
293,196.52,-31.79,0.01
294,17.57,-30.68,0.01
295,271.9,-27.31,0.01
296,121.67,-24.57,0.01
297,115.41,-23.41,0.01
298,150.13,-24.4,0.01
299,-67.71,-23.91,0.01
300,108.01,-23.0,0.01
301,124.0,-22.82,0.01
302,-6.5,-23.16,0.01
303,114.59,-21.0,0.01
304,-130.53,-21.19,0.01
305,249.33,-19.07,0.01
306,109.09,-16.63,0.01
307,241.72,-16.63,0.01
308,256.59,-12.96,0.01
309,233.03,-10.78,0.01
310,267.41,-9.98,0.01
311,216.55,-7.53,0.01
312,222.64,-4.56,0.01
313,206.47,-1.22,0.01
314,274.75,1.79,0.01
315,-284.54,-0.02,0.01
316,25.97,1.09,0.01
317,265.42,4.81,0.01
318,192.42,7.41,0.01
319,248.45,11.18,0.01
320,176.97,14.02,0.01
321,-169.22,12.9,0.01
322,179.76,15.61,0.01
323,179.21,18.19,0.01
324,286.26,21.67,0.01
325,239.44,24.06,0.01
326,255.39,27.73,0.01
327,253.24,30.62,0.01
328,251.9,33.25,0.01
329,-21.93,33.75,0.01
330,252.47,37.17,0.01
331,216.71,40.45,0.01
332,163.2,42.45,0.01
333,191.81,43.09,0.01
334,-466.29,38.49,0.01
335,244.88,41.35,0.01
336,194.37,43.79,0.01
337,290.83,46.98,0.01
338,-84.32,46.67,0.01
339,266.83,52.35,0.01
340,245.03,54.78,0.01
341,247.78,57.69,0.01
342,258.09,61.34,0.01
343,104.49,62.33,0.01
344,232.74,65.81,0.01
345,237.43,68.67,0.01
346,290.26,71.69,0.01
347,242.63,74.59,0.01
348,-345.71,71.43,0.01
